Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI
Jan 2015,184.2,186,187.1,185.8,176.6,173.7
Feb 2015,187.7,190.9,189.2,191.2,179,164.6
Mar 2015,187.4,190.4,191.5,190.2,181,163.6
Apr 2015,191,194.3,195.1,194.1,184.1,164.9
May 2015,192.1,195,200.4,194,185.2,169.8
Jun 2015,192.8,196.3,198.7,195.9,185.9,165
Jul 2015,195.5,199,202,198.5,188,167.8
Aug 2015,195.9,199.1,199.7,199,187.9,172.5
Sep 2015,196.1,198.6,204.2,197.6,190.3,177.2
Oct 2015,195.7,198.5,207,197,190.7,174.3
Nov 2015,200.7,204.5,208.7,203.8,194,170.1
Dec 2015,196.2,199.6,208.6,198,194.8,165.8
Jan 2016,204.7,209.6,208.2,209.8,197.1,166.6
Feb 2016,208.6,213,214.4,212.8,202,173.6
Mar 2016,212.2,217.3,219.5,216.9,203.4,173.6
Apr 2016,218.1,223,228.5,222,207,183.8
May 2016,224.6,230.3,233.5,229.7,211.3,186
Jun 2016,229,234.8,240.5,233.8,213,192.1
Jul 2016,230.3,235.5,243.2,234.1,217.2,195.3
Aug 2016,232.8,238.7,245.7,237.4,214.5,196.4
Sep 2016,237.9,244.1,252.8,242.5,220.2,198.6
Oct 2016,238.9,245.2,257.6,242.9,219.8,199
Nov 2016,243.8,249.2,260.9,247,228.9,206.7
Dec 2016,245.1,250,261.7,247.9,227.6,207
Jan 2017,259.3,267.3,265.3,267.7,230.1,210.8
Feb 2017,277.6,288.7,291.4,288.2,236.5,212.8
Mar 2017,289.9,301.2,311.1,299.3,251.2,221
Apr 2017,284.9,293.1,312.5,289.4,265.2,230.1
May 2017,275.9,280.7,307,275.6,278,235.1
Jun 2017,266.4,269.7,290.2,265.7,272.9,235.8
Jul 2017,257.7,260.7,274.5,258.1,254.7,235.6
Aug 2017,256.7,260.4,266.3,259.2,248,232.4
Sep 2017,255.6,260.1,265.6,259.1,245.8,225.8
Oct 2017,252.7,257.9,268.8,255.8,238.8,220.8
Nov 2017,253.2,258.6,268,256.8,241.4,218.7
Dec 2017,250.2,254.9,270.7,251.9,241.4,219.1
Jan 2018,253.1,257.7,267,255.8,243,223.8
Feb 2018,259.2,264.8,275.3,262.7,240.8,228.1
Mar 2018,259.9,265.6,277.2,263.4,244.6,226.4
Apr 2018,260.3,265.5,276.4,263.3,251.7,227.7
May 2018,258.5,262.9,272.9,260.9,250.2,231.6
Jun 2018,259.4,263.8,268.7,262.8,249.4,234.5
Jul 2018,256.9,260,267.4,258.5,251.8,238.4
Aug 2018,259.6,262.5,266.9,261.7,258.5,239.4
Sep 2018,259.3,261.8,268.2,260.5,260.7,240.9
Oct 2018,258.1,260.7,271,258.7,258.9,239
Nov 2018,257.7,260.9,272.9,258.5,259.4,234.3
Dec 2018,259.7,263.4,269.5,262.2,256.7,236.1
Jan 2019,260.3,263.5,269.4,262.4,253.8,242.8
Feb 2019,261.1,264.4,265.7,264.2,259.2,240
Mar 2019,262.8,266.2,268.7,265.7,266.4,238.2
Apr 2019,265.8,269.3,265.3,270.1,270.9,239.4
May 2019,267.3,270.4,265.9,271.3,274.6,242.6
Jun 2019,267.1,270.6,271.5,270.4,271.5,242.7
Jul 2019,269.8,274,273.3,274.2,269.2,243.8
Aug 2019,269,271.7,278.5,270.4,275.8,248.2
Sep 2019,269.6,272.2,274.3,271.8,278.3,248.6
Oct 2019,270.6,273.1,272.9,273.2,284.6,246.5
Nov 2019,271,274.1,274.6,274,281.5,245.1
Dec 2019,271.6,274.5,274,274.6,289.4,243.1
Jan 2020,276.4,279.8,277,280.4,289.1,247.6
Feb 2020,284.2,289.1,283.8,289.9,296.9,248.4
Mar 2020,293.5,299.1,293.8,300,306.5,253.1
Apr 2020,289.2,292.8,292.8,292.8,307.8,257.1
May 2020,290,292.5,292.1,292.5,303.5,266.8
Jun 2020,290.9,294.3,292.2,294.6,309.4,259.4
Jul 2020,291.4,294.1,301.2,293.2,305.2,268.6
Aug 2020,297.1,299.4,307.3,298.4,315.7,273.9
Sep 2020,301.4,304.4,310.6,303.6,322.2,272.5
Oct 2020,300.3,302.9,315.4,301.4,321.7,272.3
Nov 2020,304.6,307.5,318.8,306.2,322.3,276.9
Dec 2020,312.6,317.6,323.7,316.8,326,276
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
