Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI
Jan 2015,146.8,148,151.8,146.3,139.1,129.5
Feb 2015,146.9,148.3,150,147.5,136.8,129.8
Mar 2015,151,152.7,147.6,155.1,139,132.3
Apr 2015,152.1,153.8,151.5,154.9,140.7,132.1
May 2015,152.6,154.2,156.4,153.2,143.4,130.5
Jun 2015,152.2,153.4,152.4,153.8,145.8,135.6
Jul 2015,153.6,154.5,151.7,155.9,150.3,132.7
Aug 2015,155.2,156.1,158.6,154.9,152.7,133
Sep 2015,155.1,155.8,154,156.6,155.2,135.3
Oct 2015,155.7,156.4,153.5,157.8,155.2,136.1
Nov 2015,154.2,154.6,157.4,153.2,154.6,143.3
Dec 2015,156.3,157,152.6,159.1,153.5,143.2
Jan 2016,156,156.8,158.6,156,153,140.6
Feb 2016,163.7,165.4,165.2,165.6,154.6,139
Mar 2016,163.8,165.7,164,166.5,152.9,139.2
Apr 2016,166.7,169.1,170.2,168.6,151.5,139.7
May 2016,167.6,170.3,169.6,170.7,151.1,136.4
Jun 2016,170.4,173.1,170.8,174.2,155.2,138.6
Jul 2016,174.3,177.2,174.1,178.8,157.1,140.8
Aug 2016,176.6,180,176,181.9,154.2,143.6
Sep 2016,179.1,182.4,179.9,183.7,158.7,143.5
Oct 2016,183.9,188,181.9,191,158.9,140.8
Nov 2016,188.3,192,192.2,191.9,166.2,149.6
Dec 2016,181.5,184.5,179.7,186.8,162.8,151.8
Jan 2017,197.7,202.7,187.7,210,163.5,153.8
Feb 2017,202.6,207,202.2,209.3,176.4,155.3
Mar 2017,216,221,215.1,223.9,186.4,163.4
Apr 2017,221.6,226,227.1,225.4,199.2,169.9
May 2017,218.2,221.2,217.9,222.8,205.4,177.6
Jun 2017,211.8,213.4,213,213.6,208.5,182.9
Jul 2017,208.6,209.4,207.4,210.5,213.2,181.5
Aug 2017,210,210.9,209.5,211.6,212.6,185.5
Sep 2017,209.4,210.3,210.3,210.4,209.4,189.6
Oct 2017,209.2,210.1,209,210.6,207.3,194.1
Nov 2017,210.3,211.9,210.3,212.7,203.2,188.4
Dec 2017,209.1,210.1,205.9,212.3,205.8,192.1
Jan 2018,216.7,218.7,212.7,221.7,205.7,193.3
Feb 2018,217.9,220,215,222.6,207.2,191.8
Mar 2018,222,223.7,222.6,224.3,218.1,194.9
Apr 2018,220.3,222.1,229.2,218.6,216.2,190.6
May 2018,223.2,225.5,230.3,223,214.7,191.6
Jun 2018,223.1,224.7,229.6,222.3,220.5,196.1
Jul 2018,219.9,221,225,219,221.7,196.6
Aug 2018,224.9,226.7,231.2,224.4,222,194.8
Sep 2018,223.6,225.3,231.6,222.2,217.1,201.7
Oct 2018,224.3,226.5,230.4,224.6,215.7,197
Nov 2018,218.8,220.1,223.7,218.3,215.9,199.3
Dec 2018,219.8,220.9,220.2,221.2,221.6,197.1
Jan 2019,225.7,227.4,228.3,227,222.6,198.1
Feb 2019,230.9,232.4,235.6,230.8,229.1,205.1
Mar 2019,232.1,233.2,234.5,232.5,235.6,207.7
Apr 2019,231.8,232.7,237,230.4,238.5,205.2
May 2019,238.2,239.7,245.7,236.7,239.6,208.5
Jun 2019,237.9,239.3,241,238.5,239,210.7
Jul 2019,240.6,242.8,249.7,239.2,235.1,208.6
Aug 2019,238.4,239.9,241.2,239.3,237.6,213.7
Sep 2019,241.4,243.2,249.6,239.9,237.3,216.4
Oct 2019,242.5,244.7,255.2,239.2,234.8,216.8
Nov 2019,245.2,247.6,247.9,247.5,235.4,217.8
Dec 2019,248.4,251.4,256.3,248.8,234.9,216.5
Jan 2020,259.2,263.1,276.2,256.3,241.9,218.3
Feb 2020,262.3,266.9,272.6,263.9,240.7,216
Mar 2020,263.9,267.8,274.9,264.1,250.8,218.6
Apr 2020,256.5,259,266.6,255.1,253.6,220.6
May 2020,258.6,260.6,261.5,260.2,259.4,223
Jun 2020,270.8,273.4,268.4,271.5,260.2,224.9
Jul 2020,274.4,277.4,288.3,273.3,263.6,240.8
Aug 2020,277.7,280.8,296.1,275.1,267.6,242.2
Sep 2020,286.1,290.2,302.4,285.5,274,237.8
Oct 2020,287.9,291.4,299.6,288.4,276.5,247.8
Nov 2020,291,293.9,297.4,292.6,286.4,248.2
Dec 2020,301.6,305.6,304.7,306,292.3,245
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
