Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI
Jan 2015,168.9,171.1,167,173.5,158.2,161.8
Feb 2015,171.4,173.3,168.9,175.8,163.5,164.5
Mar 2015,175.5,177.8,171.8,181.3,165.2,166.7
Apr 2015,177.2,178.9,174.9,181.3,165.3,176.4
May 2015,178.6,180.9,173.6,185.2,168.7,169.2
Jun 2015,181.2,183.7,178.5,186.8,172.3,168.6
Jul 2015,180.9,182.5,177.3,185.5,171.2,177.7
Aug 2015,183.4,185.6,180.2,188.8,174.9,173.4
Sep 2015,182.8,184.9,179.6,187.9,174.3,174.1
Oct 2015,183.1,184.9,180.6,187.3,175.5,176.4
Nov 2015,184.4,186.2,180.4,189.5,172.4,182.2
Dec 2015,186.5,188,183.4,190.8,178.4,182.4
Jan 2016,189.6,192.3,185.9,196.1,179.1,176.8
Feb 2016,192.6,196,191.3,198.7,175.9,181.1
Mar 2016,199.8,202.4,194.9,206.8,185.7,193.1
Apr 2016,203.3,206.5,200,210.2,190.4,189.9
May 2016,208,211.9,206,215.3,194.9,188
Jun 2016,212,215.9,210.6,218.9,195.8,195.2
Jul 2016,213.3,217.6,210.5,221.7,201,188.8
Aug 2016,214.1,217,210.7,220.8,203.2,199.7
Sep 2016,218.7,222.9,214.4,228,205.3,196.7
Oct 2016,218.4,222.1,214.6,226.5,205,200.9
Nov 2016,220.6,223.9,216.6,228.2,209.5,204
Dec 2016,221.1,225.1,216.8,229.9,210.4,198.5
Jan 2017,230.4,236.4,226,242.5,201.4,210.5
Feb 2017,240.5,245.9,233.6,253.1,222.8,213.5
Mar 2017,253.7,259.7,246.9,267.3,236.4,221.1
Apr 2017,261.8,265.7,251.5,274.2,246.7,244.9
May 2017,256.8,259.9,250.2,265.7,242,247.1
Jun 2017,250.8,252.3,242.9,258,238.2,252.9
Jul 2017,243.5,244.8,238.8,248.4,234.7,243.4
Aug 2017,239.6,241.1,236,244.1,230.1,238.6
Sep 2017,241,242.7,234.1,247.8,230.7,239.4
Oct 2017,241.3,242.1,235.4,246.2,230.9,247.9
Nov 2017,243.2,246.8,235.7,253.4,223.5,236.3
Dec 2017,243.7,247.1,237.4,252.9,223.9,239.4
Jan 2018,246.3,248.2,240.9,252.5,235.3,244.9
Feb 2018,248.3,252.4,244.3,257.4,231.3,234.3
Mar 2018,253.2,256.4,246.1,262.6,240.9,241.6
Apr 2018,254.1,257.4,249,262.5,239.3,245.7
May 2018,258.9,262.7,253.4,268.2,238.7,254.9
Jun 2018,255.9,258.4,246.2,265.8,242.3,254
Jul 2018,257.3,259.6,246.7,267.3,240,263
Aug 2018,256.2,257.8,247.8,263.8,240.5,266.4
Sep 2018,255.5,255.7,240.2,264.9,249.3,263.5
Oct 2018,257.5,257.5,245.4,264.7,254.3,263
Nov 2018,258.7,259.9,247.6,266.4,250.9,258.7
Dec 2018,259.7,262.5,248.6,269.8,245.7,252.6
Jan 2019,258.8,262.1,249.1,268.8,241.1,253
Feb 2019,260.4,264.2,254,269.5,237.4,259
Mar 2019,263.2,266,255.2,271.5,246.9,261.4
Apr 2019,268.2,271.9,257.3,279.3,248.2,263.9
May 2019,267.8,270,258.4,275.8,257.3,262.6
Jun 2019,269.9,272.9,259.4,279.7,253.3,267.7
Jul 2019,270.1,272.3,257.4,280,255.8,272.9
Aug 2019,273,276.2,265,281.8,249.8,281.7
Sep 2019,274.2,276.9,266,282.3,252.3,287.4
Oct 2019,276.7,280.1,268.9,285.7,254.3,281.4
Nov 2019,278.3,283.4,271,289.6,249,277.2
Dec 2019,276.1,279.7,270.8,284.1,252.5,285.1
Jan 2020,279.5,284,274.9,288.6,245.3,294
Feb 2020,284.5,289.4,278.4,294.7,252.5,297.8
Mar 2020,289.9,295,286.5,299.1,256.9,304.1
Apr 2020,289.4,293.3,287.1,296.3,259,313
May 2020,292.8,297.2,286.6,302.2,264.2,307.4
Jun 2020,299.4,303.9,292.5,309.2,273.6,306.4
Jul 2020,304.9,308.9,296.3,314.2,276,305.8
Aug 2020,311.8,316.9,303.2,322.7,285.3,302.2
Sep 2020,318.9,323.8,312,328.8,299.9,302.3
Oct 2020,322.7,326.3,315.4,330.9,306.2,313.8
Nov 2020,326.3,331.3,320.5,335.8,309,307.3
Dec 2020,335.5,341.3,330.7,345.8,311,318.6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
