Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI
Jan-15,172.1,176.8,177.3,176.6,168.6,158.8
Feb-15,174.4,179.6,179.2,179.7,171.5,159.4
Mar-15,177.1,182.6,182.5,182.6,175.2,160.5
Apr-15,179.9,185.8,185.8,185.8,177.1,162.6
May-15,182.1,188.2,187.1,188.6,179.5,164.1
Jun-15,183.9,190.4,189.2,190.9,181.2,164.5
Jul-15,185,191.7,190.9,192,182.4,165
Aug-15,185.8,192.4,191.1,192.9,183,166.2
Sep-15,186.9,193.7,193.6,193.7,184.2,166.9
Oct-15,187.5,194.6,194.3,194.7,185.3,166.7
Nov-15,188.3,195.6,195.4,195.7,186.1,167
Dec-15,188.9,196.4,196.9,196.2,187.1,167
Jan-16,189.8,197.9,197.6,198,188,165.9
Feb-16,193.3,201.8,201.6,201.9,190.1,168.9
Mar-16,197.6,206.8,206.6,206.9,193.5,171.8
Apr-16,202.5,212.5,212.5,212.5,197.7,174.4
May-16,209.1,221,221.9,220.7,202.7,176.6
Jun-16,212.8,225.5,227.9,224.6,206.8,178.1
Jul-16,215.3,228.2,230.2,227.5,209.1,180.4
Aug-16,217.5,230.6,232.6,230,211.7,182.2
Sep-16,220.2,233.3,235.1,232.7,215.5,184.7
Oct-16,224.2,237.8,240.1,237,218.2,188.2
Nov-16,226.1,239.4,241.8,238.5,221.3,190.6
Dec-16,228.4,242,245.9,240.6,224.1,192.1
Jan-17,232.8,246.4,250.6,245,228,195.8
Feb-17,240.4,254.8,259.6,253.3,237.9,201.4
Mar-17,255,270.4,275.8,268.5,252.1,213.8
Apr-17,266.3,281.9,287.7,280,263.6,224.5
May-17,268.8,283,287,281.6,268.7,231.1
Jun-17,266.6,279.2,282.8,278,267.1,233.2
Jul-17,254.7,262.6,265.1,261.7,262.5,231.7
Aug-17,248.6,255.1,255.6,254.9,256,229.8
Sep-17,247.4,253.6,256.2,252.7,251.3,230.4
Oct-17,246.1,251.4,250.5,251.8,248.8,231.7
Nov-17,245.2,250.1,248.6,250.7,248,232
Dec-17,244.8,248.7,247.5,249.1,247.8,234
Jan-18,244.2,247.7,247.8,247.6,248.6,234.3
Feb-18,247.2,250.1,249,250.4,249.2,239.4
Mar-18,250.4,252.8,252.6,252.9,253,243.6
Apr-18,252.1,253.8,253.5,254,255.3,247.2
May-18,254.1,255.7,255.5,255.8,257.3,249.4
Jun-18,253.8,254.9,252.8,255.7,257.7,250.2
Jul-18,253,253.3,249,254.7,258.5,250.7
Aug-18,252.2,251.5,248.8,252.4,258.4,252.1
Sep-18,252.3,251.3,248.6,252.3,258.7,252.7
Oct-18,252.7,251.4,249.9,252,258.9,253.7
Nov-18,252,250.4,246.4,251.7,259.5,253.6
Dec-18,252.3,249.9,246.3,251.1,259.3,255.6
Jan-19,251.6,249.1,245.2,250.4,259.8,255
Feb-19,253.4,249.9,245.6,251.3,262.3,258.9
Mar-19,256.8,254,251.2,255,262.2,261.6
Apr-19,260.1,257.4,253.8,258.6,265.2,264.5
May-19,262,258.7,257.1,259.2,268.4,267.4
Jun-19,263.1,259.4,257.9,259.9,269.3,269.2
Jul-19,263.8,259.7,259.6,259.8,269.3,270.8
Aug-19,264.2,259.8,259.8,259.8,271.5,271.6
Sep-19,265.2,260.8,260.8,260.8,272.2,272.6
Oct-19,267,262.4,262.2,262.4,273.9,275
Nov-19,268.9,263.8,263.1,264,275.3,277.8
Dec-19,269.8,264.1,263.7,264.3,275.3,280
Jan-20,273,267.9,268.1,267.8,279.1,282.3
Feb-20,278.2,272.1,272.2,272.1,284.5,289.2
Mar-20,284.8,278.4,278.1,278.5,290.2,296.9
Apr-20,286.6,279.1,278.6,279.2,294.1,300.3
May-20,286.7,279.2,278.3,279.5,296,300
Jun-20,284.7,278.2,277.2,278.5,296.8,295.2
Jul-20,290.2,285.8,288.8,284.9,302.6,296
Aug-20,293.4,290.7,293.8,289.7,305.9,295.8
Sep-20,295.9,294.8,298.7,293.6,308.4,294.7
Oct-20,295.9,296,300.5,294.5,308.9,291.9
Nov-20,297.3,299,302.1,298.1,310.6,289.1
Dec-20,299.6,303.8,307.3,302.6,311.6,286.6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
