Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI
Jan-15,169.1,172.2,171.9,172.4,163.4,159.9
Feb-15,170.6,174,173.4,174.4,164.6,160.5
Mar-15,172.5,176.1,175.2,176.7,166.3,161.6
Apr-15,174,177.8,176.6,178.6,167.7,163
May-15,175.4,179.4,177.5,180.6,168.9,163.8
Jun-15,176.5,180.6,178.7,181.9,170,164.2
Jul-15,177,181.2,179.1,182.7,170.2,164.4
Aug-15,177.4,181.6,179.3,183.3,170.7,164.9
Sep-15,178.2,182.4,180.1,184,171.1,165.9
Oct-15,178.5,182.6,180.1,184.3,171.6,166.5
Nov-15,179.1,183.1,180.1,185.2,172.5,167.2
Dec-15,179.2,183.4,180.5,185.4,173.2,166.5
Jan-16,180.7,185.2,181.9,187.6,174,167.3
Feb-16,183.5,188.1,184.4,190.6,175.8,170.3
Mar-16,186.7,191.6,187.5,194.5,178.7,172.3
Apr-16,190.1,195.5,191,198.6,181.8,174.5
May-16,194.6,200.8,196,204.1,185.6,176.7
Jun-16,197.7,203.9,198.9,207.3,188.9,179.8
Jul-16,199.5,205.5,200.4,209,191.6,181.5
Aug-16,200.8,206.8,201.3,210.7,193.2,182.8
Sep-16,201.8,207.8,201.5,212.3,194.7,183.9
Oct-16,202.9,208.8,202.2,213.5,195.5,185.4
Nov-16,203.7,209.4,202.7,214.1,197.5,186.6
Dec-16,204,209.8,203.1,214.5,197.2,186.9
Jan-17,207.1,213.5,205.8,218.9,198.9,188.5
Feb-17,212.2,218.9,210.3,224.9,204.2,192.9
Mar-17,219.9,226.9,217.2,233.8,210.9,199.7
Apr-17,225.8,232.5,222.3,239.7,217.4,206.6
May-17,228,233.8,224.6,240.2,221.6,211.4
Jun-17,227.5,232.2,223.7,238.1,222.1,214.2
Jul-17,224.1,226.8,220.2,231.5,221.9,215.7
Aug-17,222.2,224.2,218.1,228.4,221.3,216.3
Sep-17,222.1,223.6,218.1,227.5,220.4,217.7
Oct-17,221.8,222.7,216.7,227,220.6,219.3
Nov-17,221.8,222.3,216.2,226.7,220.6,220.5
Dec-17,221.9,222,216.5,225.8,220.9,222
Jan-18,222.8,222.5,217.1,226.2,223,224
Feb-18,225.6,224.9,219.4,228.7,225.1,228.4
Mar-18,228.4,227.2,222.1,230.7,228.8,232.3
Apr-18,229.6,227.9,223,231.3,230.8,234.8
May-18,231.1,229.2,224.6,232.5,232.9,236.4
Jun-18,230.9,228.5,223.4,232.2,233.9,237
Jul-18,230.3,227.7,222.8,231.2,234.2,236.8
Aug-18,229.3,226.7,222.1,229.9,232.8,236.1
Sep-18,228.6,225.8,221.1,229.2,232.5,235.3
Oct-18,228.1,225.5,221.1,228.7,231.6,234.7
Nov-18,227.2,224.9,219.4,228.6,231.1,232.9
Dec-18,226.5,224.1,218.5,227.9,229.9,232.4
Jan-19,226.2,224.1,218.8,227.8,228.4,231.6
Feb-19,227.3,225,219.8,228.6,228.6,233.7
Mar-19,228.9,227,221.6,230.9,229.9,234.3
Apr-19,230.6,228.7,223,232.7,231.2,236.1
May-19,231.5,229.7,224.9,233.2,233.6,236
Jun-19,231.9,230.4,225.3,233.9,233.6,235.9
Jul-19,232.1,230.6,225.8,234,233.6,235.8
Aug-19,232.5,230.9,226.4,234,234.5,236.3
Sep-19,233,231.4,226.6,234.8,234.7,236.8
Oct-19,233.7,232.2,227,235.9,235.2,237.5
Nov-19,234,232.3,226.5,236.4,235,238.5
Dec-19,233.7,231.4,226.8,234.8,234.3,240
Jan-20,237.9,236.1,230.2,240.1,238.2,242.9
Feb-20,240.1,237.9,232.8,241.4,239.2,246.8
Mar-20,243.8,241.4,235.7,245.5,242,251.5
Apr-20,243.8,241.2,235.5,245.3,243.6,251.6
May-20,244.6,242.4,236.4,246.6,244.5,250.9
Jun-20,245.6,244.4,238.9,248.2,245.7,248.9
Jul-20,250.7,250.9,245.2,254.7,248.2,251.2
Aug-20,254.2,255.4,249.4,259.4,252,251.7
Sep-20,257,259,252.9,263,255.3,251.5
Oct-20,259,261.9,256.4,265.5,257.1,251.1
Nov-20,261.1,265.1,259.2,268.9,258.9,249.8
Dec-20,264.1,269.2,263,273.3,260.1,250
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
